yearmonth,_b_log_scope1,_b_log_scope2,_b_log_total_emissions,_b_log_energy_consumption,_b_change_scope1,_b_change_scope2,_b_change_total_emissions,_b_change_energy_consumption,_b_scope1_int,_b_scope2_int,_b_total_emissions_int,_b_energy_consumption_int
200908,-.0558190608328415,.0323847271369302,-.1490450775769832,.0315730412070137,,,,,-.0141330740335931,.0883413212819737,-.011735472427043,-.0001301676641575
200908,-.0558190608328415,.0323847271369302,-.1490450775769832,.0315730412070137,,,,,-.0141330740335931,.0883413212819737,-.011735472427043,-.0001301676641575
200908,-.0558190608328415,.0323847271369302,-.1490450775769832,.0315730412070137,,,,,-.0141330740335931,.0883413212819737,-.011735472427043,-.0001301676641575
200908,-.0558190608328415,.0323847271369302,-.1490450775769832,.0315730412070137,,,,,-.0141330740335931,.0883413212819737,-.011735472427043,-.0001301676641575
200908,-.0558190608328415,.0323847271369302,-.1490450775769832,.0315730412070137,,,,,-.0141330740335931,.0883413212819737,-.011735472427043,-.0001301676641575
200908,-.0558190608328415,.0323847271369302,-.1490450775769832,.0315730412070137,,,,,-.0141330740335931,.0883413212819737,-.011735472427043,-.0001301676641575
200908,-.0558190608328415,.0323847271369302,-.1490450775769832,.0315730412070137,,,,,-.0141330740335931,.0883413212819737,-.011735472427043,-.0001301676641575
200908,-.0558190608328415,.0323847271369302,-.1490450775769832,.0315730412070137,,,,,-.0141330740335931,.0883413212819737,-.011735472427043,-.0001301676641575
200908,-.0558190608328415,.0323847271369302,-.1490450775769832,.0315730412070137,,,,,-.0141330740335931,.0883413212819737,-.011735472427043,-.0001301676641575
200908,-.0558190608328415,.0323847271369302,-.1490450775769832,.0315730412070137,,,,,-.0141330740335931,.0883413212819737,-.011735472427043,-.0001301676641575
200908,-.0558190608328415,.0323847271369302,-.1490450775769832,.0315730412070137,,,,,-.0141330740335931,.0883413212819737,-.011735472427043,-.0001301676641575
200908,-.0558190608328415,.0323847271369302,-.1490450775769832,.0315730412070137,,,,,-.0141330740335931,.0883413212819737,-.011735472427043,-.0001301676641575
200908,-.0558190608328415,.0323847271369302,-.1490450775769832,.0315730412070137,,,,,-.0141330740335931,.0883413212819737,-.011735472427043,-.0001301676641575
200908,-.0558190608328415,.0323847271369302,-.1490450775769832,.0315730412070137,,,,,-.0141330740335931,.0883413212819737,-.011735472427043,-.0001301676641575
200908,-.0558190608328415,.0323847271369302,-.1490450775769832,.0315730412070137,,,,,-.0141330740335931,.0883413212819737,-.011735472427043,-.0001301676641575
200908,-.0558190608328415,.0323847271369302,-.1490450775769832,.0315730412070137,,,,,-.0141330740335931,.0883413212819737,-.011735472427043,-.0001301676641575
200908,-.0558190608328415,.0323847271369302,-.1490450775769832,.0315730412070137,,,,,-.0141330740335931,.0883413212819737,-.011735472427043,-.0001301676641575
200908,-.0558190608328415,.0323847271369302,-.1490450775769832,.0315730412070137,,,,,-.0141330740335931,.0883413212819737,-.011735472427043,-.0001301676641575
200908,-.0558190608328415,.0323847271369302,-.1490450775769832,.0315730412070137,,,,,-.0141330740335931,.0883413212819737,-.011735472427043,-.0001301676641575
200908,-.0558190608328415,.0323847271369302,-.1490450775769832,.0315730412070137,,,,,-.0141330740335931,.0883413212819737,-.011735472427043,-.0001301676641575
200909,-.0022903728507557,-.0052815560631813,.0091982406775115,-.0083811424581646,,,,,.0006502782109293,-.0165015436958105,.0013226781811319,.0001982470420942
200909,-.0022903728507557,-.0052815560631813,.0091982406775115,-.0083811424581646,,,,,.0006502782109293,-.0165015436958105,.0013226781811319,.0001982470420942
